"McId","ICD9CM"
"THR012","195"
"OVR046","620"
"SMP001","345"
"PLR006","163"
"SCR017","187"
"URT010","593"
"URN010","599"
"CHR070","357"
"HMN014","042"
"HYD003","719"
"BLP003","333"
"INT068","569"
"PTT009","253"
"EYL005","374"
"THY026","254"
"SLP005","307"
"INT042","378"
"SCH012","295"
"PDC002","132"
"CNJ009","190"
"LCN001","132"
"TXC007","506"
"PDC003","132"
"MDS018","164"
"VLK001","958"
"ACT042","590"
"TRG003","350"
"EYD002","379"
"SPN040","192"
"BLT004","386"
"CHS002","377"
"CRN031","352"
"NRV002","362"
"RTN018","362"
"VSL004","377"
"ART018","395"
"MDN002","354"
"PLM040","424"
"RHM002","397"
"MNN016","354"
"ATR006","384"
"ORL004","528"
"TYM002","384"
"HMG002","791"
"NPH009","592"
"CNG027","282"
"PHB001","300"
"OCC005","433"
"CNG034","428"
"ESP023","530"
"PRP016","344"
"ACT084","308"
"MTR012","394"
"LYM027","288"
"BRN024","466"
"CNJ013","372"
"CRN021","190"
"RCT015","099"
"HYP063","289"
"DBL002","745"
"PRG009","046"
"PRN024","277"
"ACN011","706"
"KMM001","721"
"SPN051","720"
"BST002","721"
"DFF006","721"
"AMP007","305"
"CRB039","437"
"SPN027","723"
"PRG007","335"
"CMP008","958"
"JVN010","714"
"ACT026","375"
"ACT070","375"
"ANS003","127"
"SPL010","202"
"RDT001","595"
"CYS003","595"
"SBC007","245"
"SPN005","192"
"THY032","245"
"FML031","625"
"NDL008","379"
"PRM020","625"
"ESP001","017"
"URT033","189"
"CTN013","022"
"ANT024","022"
"DRM008","708"
"INH003","302"
"PPT005","533"
"ACT057","098"
"BLD030","016"
"STS002","759"
"GST050","520"
"GST050","521"
"GST050","522"
"GST050","523"
"GST050","524"
"GST050","525"
"GST050","526"
"GST050","527"
"GST050","528"
"GST050","529"
"GST050","530"
"GST050","531"
"GST050","532"
"GST050","533"
"GST050","534"
"GST050","535"
"GST050","536"
"GST050","537"
"GST050","538"
"GST050","539"
"GST050","540"
"GST050","541"
"GST050","542"
"GST050","543"
"GST050","544"
"GST050","545"
"GST050","546"
"GST050","547"
"GST050","548"
"GST050","549"
"GST050","550"
"GST050","551"
"GST050","552"
"GST050","553"
"GST050","554"
"GST050","555"
"GST050","556"
"GST050","557"
"GST050","558"
"GST050","559"
"GST050","560"
"GST050","561"
"GST050","562"
"GST050","563"
"GST050","564"
"GST050","565"
"GST050","566"
"GST050","567"
"GST050","568"
"GST050","569"
"GST050","570"
"GST050","571"
"GST050","572"
"GST050","573"
"GST050","574"
"GST050","575"
"GST050","576"
"GST050","577"
"GST050","578"
"GST050","579"
"GST050","580"
"RTN019","362"
"DLS001","297"
"PLC008","646"
"RNL016","590"
"END086","585"
"LRY017","478"
"CHR684","585"
"MTN002","133"
"OCL010","360"
"CRT015","433"
"HMR002","719"
"CCN002","305"
"EPG002","146"
"OST016","732"
"SPT004","711"
"MDS022","519"
"MYT001","366"
"MYC008","429"
"TRT003","097"
"CHR048","472"
"URT025","016"
"SCB001","133"
"CTR002","366"
"PRT036","567"
"APP008","540"
"APP008","541"
"APP008","542"
"CRK001","495"
"OST012","715"
"OST009","732"
"PST035","564"
"INT070","560"
"EXT034","495"
"BRC010","353"
"INT050","560"
"PRL008","560"
"CYC005","301"
"FLT003","361"
"PYR009","266"
"CRN028","370"
"PLL002","265"
"INF038","487"
"TRN010","362"
"RHM008","391"
"MPL002","495"
"PLY012","657"
"ACT055","039"
"NGH001","368"
"HRD016","362"
"IMP001","694"
"IMP004","684"
"JVN011","694"
"WHP001","040"
"LCL006","701"
"BRT014","616"
"BLL006","694"
"PRP011","673"
"ACT080","415"
"PLM027","415"
"BRB003","305"
"ACT056","415"
"SBC012","694"
"RHM036","714"
"MNC007","206"
"DRM007","694"
"HRP004","053"
"HYP082","148"
"HDG002","201"
"RTC005","200"
"CHR066","780"
"VLL005","146"
"SZR001","202"
"PYD001","686"
"HRP006","054"
"MLG056","995"
"ORP003","146"
"LCH004","697"
"LPC002","140"
"ACT060","557"
"LCH003","697"
"CHR064","206"
"UPP003","143"
"SCR015","034"
"HRP005","054"
"GMC001","143"
"DPL002","344"
"RCR002","327"
"SFT002","145"
"ORL007","144"
"MSL001","055"
"HDG003","201"
"CHR067","557"
"UPP002","140"
"PRS031","233"
"NRV007","349"
"UVL001","145"
"ULC004","556"
"GST039","535"
"DDN006","535"
"SBS005","293"
"SBC016","293"
"HDG005","201"
"VND001","453"
"CHC001","052"
"LPC001","230"
"PST031","148"
"ARY001","148"
"VRL008","057"
"ETN001","307"
"ALC012","535"
"PRN018","357"
"TNS006","146"
"SBC015","206"
"MYL006","205"
"CHK002","145"
"GNT003","054"
"DCB001","707"
"INS002","230"
"INS002","231"
"INS002","232"
"INS002","233"
"NRF002","237"
"ANR006","482"
"MLK001","051"
"CRT001","194"
"VSC002","290"
"SML019","050"
"LKP001","607"
"ERY002","057"
"SBR004","690"
"BCT013","482"
"SKN012","232"
"CNT001","051"
"EYC001","234"
"ACT250","207"
"LNG003","231"
"RBL001","056"
"TRC002","231"
"PYM001","040"
"HTR001","121"
"CRH001","555"
"CLN004","230"
"INT007","411"
"SBL001","142"
"HDG001","201"
"MTG001","121"
"PRS034","120"
"PRS034","121"
"PRS034","122"
"PRS034","123"
"PRS034","124"
"PRS034","125"
"PRS034","126"
"PRS034","127"
"PRS034","128"
"PRS034","129"
"FSC002","121"
"LPS004","695"
"BRS049","233"
"MLL001","078"
"PLM008","746"
"ACT008","702"
"TNS004","146"
"PNS002","233"
"LWR001","140"
"FSC003","121"
"CHR078","363"
"DSS001","363"
"RSC001","695"
"NRM001","341"
"PTY001","696"
"TNN001","111"
"PRM225","287"
"RTR002","145"
"ATR005","535"
"SKN019","172"
"DRM011","110"
"WLD001","149"
"PLN003","728"
"SVR002","362"
"CWP001","051"
"TNS003","146"
"SDR003","285"
"SBR001","690"
"LKP002","623"
"EVN001","287"
"ATS347","753"
"NRC002","347"
"CRV002","233"
"ESP008","530"
"HPT009","573"
"LRY009","231"
"INT019","230"
"PRT009","142"
"UTR010","622"
"PLY004","621"
"BLD008","233"
"PTY002","111"
"PRX001","277"
"ANL008","230"
"RTT001","695"
"LTH001","446"
"PRP005","696"
"RMS001","327"
"ESP005","230"
"ERY005","690"
"UTR009","233"
"OCC003","191"
"DSC002","373"
"SBC017","706"
"GRN005","099"
"LWR002","143"
"LVR003","230"
"STM003","230"
"ECZ002","054"
"XRD002","373"
"HRD005","145"
"LSH001","085"
"VSC003","085"
"VRL002","050"
"GSG001","040"
"MCC002","085"
"AMY004","277"
"NRT002","698"
"RCT010","230"
"SBM004","142"
"DBT006","362"
"PMP001","694"
"VST002","145"
"DYS011","530"
"ACH005","530"
"PRD002","327"
"LCH002","697"
"KDN012","233"
"HRP037","053"
"PYR008","148"
"PMP010","705"
"ERY008","443"
"AMN002","270"
"PRM015","334"
"AMB001","006"
"HST007","270"
"OCL006","365"
"BRD008","365"
"MYP005","376"
"PRP007","607"
"CLF001","749"
"ORB013","376"
"SPL008","017"
"MCH006","378"
"CHR047","473"
"LYM014","457"
"SCT002","368"
"BST003","302"
"URC002","270"
"URT015","599"
"URT016","599"
"TYL001","625"
"FBL001","726"
"CRT008","443"
"DBT009","250"
"VRL011","060"
"VRL011","061"
"VRL011","062"
"VRL011","063"
"VRL011","064"
"VRL011","065"
"VRL011","066"
"VRL011","067"
"KRT006","370"
"EXP004","376"
"FCH002","364"
"GLC001","364"
"GNC004","098"
"LNS002","364"
"INF019","364"
"CRP002","464"
"ACT072","464"
"TRC020","464"
"IRD001","364"
"INT040","493"
"EPG003","464"
"EPD018","604"
"STR011","410"
"STT002","493"
"ACT075","410"
"DBT005","253"
"ALL006","493"
"HYP034","437"
"BLP005","373"
"CHL066","576"
"IST001","182"
"UTR033","182"
"FTT001","571"
"LPD009","272"
"BCT007","320"
"MNN013","322"
"OTT001","380"
"MNN015","355"
"EXP002","370"
"ULC003","373"
"CHR035","375"
"CHL021","380"
"PLM035","518"
"LKC003","288"
"DCR003","375"
"BNG025","610"
"ACT034","461"
"SMP002","372"
"CNN002","305"
"ACT030","375"
"LTN001","097"
"TBR004","011"
"PLS016","203"
"VSC009","709"
"ADR012","255"
"BRN022","494"
"NNT005","771"
"VNZ002","066"
"URT011","594"
"LWR004","594"
"FSC004","729"
"STP002","005"
"UNL003","386"
"KDN013","593"
"NCR007","728"
"ORT001","593"
"NNC001","593"
"SRC011","136"
"ORL006","528"
"SYS003","428"
"SNL007","366"
"CNG024","379"
"APH001","528"
"NM001","528"
"PLM034","492"
"TXC010","422"
"CRV025","622"
"GNC008","098"
"GNC007","098"
"PLC007","640"
"RSC002","372"
"OPH002","771"
"HYD004","575"
"OCC004","575"
"PTH003","379"
"VTR005","379"
"BBS001","088"
"VTR004","360"
"OPH003","360"
"PRL018","360"
"EST006","381"
"ACT063","381"
"PLV004","456"
"PST030","576"
"BLR006","576"
"YLL002","060"
"DBT010","250"
"PRN017","455"
"UPP004","478"
"GNG007","727"
"INT059","455"
"BLD055","381"
"HMR005","455"
"TRN013","776"
"RNL012","016"
"FML033","174"
"SNL006","363"
"DST006","428"
"IRR002","564"
"BLB003","045"
"ANG008","363"
"MYS002","728"
"TBR008","014"
"HRD019","363"
"EYD001","360"
"DFF008","363"
"PRT016","363"
"CNT022","363"
"HYP047","378"
"NNT008","779"
"PRT032","363"
"CYC003","378"
"ACC003","378"
"EST005","378"
"HYP048","378"
"TTL003","363"
"MNF001","378"
"TRC023","124"
"RDL002","755"
"HYP074","446"
"PRP028","386"
"LNG015","333"
"CNG033","090"
"PLY017","446"
"INT065","370"
"DPK001","370"
"TXC009","362"
"INT043","271"
"URT019","597"
"ALP008","704"
"MLR002","018"
"ALT004","378"
"PRD003","523"
"ALP009","704"
"VLL003","719"
"MDN008","447"
"MBM001","373"
"INT047","373"
"CNT026","370"
"INF025","603"
"DVL001","315"
"OMS001","065"
"CHR061","375"
"CHR088","375"
"CHR060","375"
"CRD006","093"
"DCR004","375"
"CNS003","376"
"DCR002","375"
"STR019","365"
"RSD003","365"
"HMM001","621"
"HYP057","278"
"TXP001","130"
"DRG003","304"
"CRT011","278"
"HLL005","304"
"HYP055","746"
"ACT054","614"
"CCN001","304"
"ESN002","710"
"UTR020","665"
"TRT002","094"
"HYP056","251"
"HYP098","288"
